GVKEY,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,conm,tic,cusip
6669,LC,52708,21095,19710623,E,LENNAR CORP,LEN,526057104
6682,LC,20415,21097,19620131,E,JEFFERIES FINANCIAL GRP INC,JEF,47233W109
6682,LC,20415,21097,19500101,19620130,JEFFERIES FINANCIAL GRP INC,JEF,47233W109
6730,LU,50876,21102,19700709,E,LILLY (ELI) & CO,LLY,532457108
6733,LC,64282,2664,19730209,E,L BRANDS INC,LB,501797104
6742,LC,49015,21105,19720131,E,LINCOLN NATIONAL CORP,LNC,534187109
6742,LC,49015,21105,19720101,19720130,LINCOLN NATIONAL CORP,LNC,534187109
6774,LU,21178,21110,19620131,E,LOCKHEED MARTIN CORP,LMT,539830109
6774,LU,21178,21110,19500101,19620130,LOCKHEED MARTIN CORP,LMT,539830109
6781,LC,26710,21111,19620131,E,LOEWS CORP,L,540424108
6829,LU,61399,2709,19721214,E,LOWE'S COS INC,LOW,548661107
7017,LC,15069,21795,19910412,E,MARATHON OIL CORP,MRO,565849106
7063,LU,46703,21157,19680826,E,HOST HOTELS & RESORTS INC,HST,44107P104
7065,LU,45751,21158,19680216,E,MARSH & MCLENNAN COS,MMC,571748102
7085,LU,34032,21161,19620702,E,MASCO CORP,MAS,574599106
7116,LU,39538,21168,19630812,E,MATTEL INC,MAT,577081102
7146,LC,89155,2801,20010917,E,MCCORMICK & CO INC,MKC,579780206
7146,LC,52090,2801,19721214,E,MCCORMICK & CO INC,MKC,579780206
7154,LU,43449,21177,19660705,E,MCDONALD'S CORP,MCD,580135101
7163,LU,17478,21179,19620131,E,S&P GLOBAL INC,SPGI,78409V104
7163,LU,17478,21179,19500101,19620130,S&P GLOBAL INC,SPGI,78409V104
7171,LC,81061,30521,19941201,E,MCKESSON CORP,MCK,58155Q103
7228,LC,60097,2850,19721214,E,MEDTRONIC PLC,MDT,G5960L103
7241,LC,17005,21185,19620131,E,CVS HEALTH CORP,CVS,126650100
7241,LC,17005,21185,19500101,19620130,CVS HEALTH CORP,CVS,126650100
7257,LC,22752,21188,19620102,E,MERCK & CO,MRK,58933Y105
7257,LC,22752,21188,19500101,19620101,MERCK & CO,MRK,58933Y105
7343,LU,53613,7065,19840601,E,MICRON TECHNOLOGY INC,MU,595112103
7366,LU,24010,21201,19620131,E,ENTERGY CORP,ETR,29364G103
7366,LU,24010,21201,19510101,19620130,ENTERGY CORP,ETR,29364G103
7435,LC,22592,21205,19620131,E,3M CO,MMM,88579Y101
7435,LC,22592,21205,19500101,19620130,3M CO,MMM,88579Y101
7585,LC,22779,21230,19620131,E,MOTOROLA SOLUTIONS INC,MSI,620076307
7585,LC,22779,21230,19500101,19620130,MOTOROLA SOLUTIONS INC,MSI,620076307
7637,LC,69550,3104,19730223,E,MYLAN NV,MYL,N59465109
7647,LC,59408,3151,19690102,E,BANK OF AMERICA CORP,BAC,60505104
7875,LC,60986,3178,19721214,E,NEWELL BRANDS INC,NWL,651229106
7881,LU,21207,21286,19620131,E,NEWMONT CORP,NEM,651639106
7881,LU,21207,21286,19610101,19620130,NEWMONT CORP,NEM,651639106
7906,LU,57665,3194,19801202,E,NIKE INC  -CL B,NKE,654106103
7912,LC,61815,3219,19721214,E,NOBLE ENERGY INC,NBL,655044105
7922,LU,57817,3217,19721214,E,NORDSTROM INC,JWN,655664100
